: error 482.133671, percentage 3.44%
Classifier[24] iteration 4165: error 481.997000, percentage 3.44%
Classifier[24] iteration 4166: error 481.994775, percentage 3.44%
Classifier[24] iteration 4167: error 481.992551, percentage 3.44%
Classifier[24] iteration 4168: error 481.990329, percentage 3.44%
Classifier[24] iteration 4169: error 481.988109, percentage 3.44%
Classifier[24] iteration 4170: error 481.985891, percentage 3.44%
Classifier[24] iteration 4171: error 481.983674, percentage 3.44%
Classifier[24] iteration 4172: error 481.981459, percentage 3.44%
Classifier[24] iteration 4173: error 481.979246, percentage 3.44%
Classifier[24] iteration 4174: error 481.977034, percentage 3.44%
Classifier[24] iteration 4175: error 481.974824, percentage 3.44%
Classifier[24] iteration 4176: error 481.972616, percentage 3.44%
Classifier[24] iteration 4177: error 481.970409, percentage 3.44%
Classifier[24] iteration 4178: error 481.968204, percentage 3.44%
Classifier[24] iteration 4179: error 481.966001, percentage 3.44%
Classifier[24] iteration 4180: error 481.963799, percentage 3.44%
Classifier[24] iteration 4181: error 481.961599, percentage 3.44%
Classifier[24] iteration 4182: error 481.959401, percentage 3.44%
Classifier[24] iteration 4183: error 481.957204, percentage 3.44%
Classifier[24] iteration 4184: error 481.955009, percentage 3.44%
Classifier[24] iteration 4185: error 481.952816, percentage 3.44%
Classifier[24] iteration 4186: error 481.950625, percentage 3.44%
Classifier[24] iteration 4187: error 481.948435, percentage 3.44%
Classifier[24] iteration 4188: error 481.946246, percentage 3.44%
Classifier[24] iteration 4189: error 481.944060, percentage 3.44%
Classifier[24] iteration 4190: error 481.941875, percentage 3.44%
Classifier[24] iteration 4191: error 481.939692, percentage 3.44%
Classifier[24] iteration 4192: error 481.937510, percentage 3.44%
Classifier[24] iteration 4193: error 481.935330, percentage 3.44%
Classifier[24] iteration 4194: error 481.933152, percentage 3.44%
Classifier[24] iteration 4195: error 481.930975, percentage 3.44%
Classifier[24] iteration 4196: error 481.928800, percentage 3.44%
Classifier[24] iteration 4197: error 481.926627, percentage 3.44%
Classifier[24] iteration 4198: error 481.924455, percentage 3.44%
Classifier[24] iteration 4199: error 481.922285, percentage 3.44%
Classifier[24] iteration 4200: error 481.920117, percentage 3.44%
Classifier[24] iteration 4201: error 481.917950, percentage 3.44%
Classifier[24] iteration 4202: error 481.915785, percentage 3.44%
Classifier[24] iteration 4203: error 481.913622, percentage 3.44%
Classifier[24] iteration 4204: error 481.911460, percentage 3.44%
Classifier[24] iteration 4205: error 481.909300, percentage 3.44%
Classifier[24] iteration 4206: error 481.907141, percentage 3.44%
Classifier[24] iteration 4207: error 481.904984, percentage 3.44%
Classifier[24] iteration 4208: error 481.902829, percentage 3.44%
Classifier[24] iteration 4209: error 481.900675, percentage 3.44%
Classifier[24] iteration 4210: error 481.898523, percentage 3.44%
Classifier[24] iteration 4211: error 481.896373, percentage 3.44%
Classifier[24] iteration 4212: error 481.894224, percentage 3.44%
Classifier[24] iteration 4213: error 481.892077, percentage 3.44%
Classifier[24] iteration 4214: error 481.889932, percentage 3.44%
Classifier[24] iteration 4215: error 481.887788, percentage 3.44%
Classifier[24] iteration 4216: error 481.885646, percentage 3.44%
Classifier[24] iteration 4217: error 481.883506, percentage 3.44%
Classifier[24] iteration 4218: error 481.881367, percentage 3.44%
Classifier[24] iteration 4219: error 481.879229, percentage 3.44%
Classifier[24] iteration 4220: error 481.877094, percentage 3.44%
Classifier[24] iteration 4221: error 481.874960, percentage 3.44%
Classifier[24] iteration 4222: error 481.872827, percentage 3.44%
Classifier[24] iteration 4223: error 481.870696, percentage 3.44%
Classifier[24] iteration 4224: error 481.868567, percentage 3.44%
Classifier[24] iteration 4225: error 481.866440, percentage 3.44%
Classifier[24] iteration 4226: error 481.864314, percentage 3.44%
Classifier[24] iteration 4227: error 481.862189, percentage 3.44%
Classifier[24] iteration 4228: error 481.860066, percentage 3.44%
Classifier[24] iteration 4229: error 481.857945, percentage 3.44%
Classifier[24] iteration 4230: error 481.855826, percentage 3.44%
Classifier[24] iteration 4231: error 481.853708, percentage 3.44%
Classifier[24] iteration 4232: error 481.851592, percentage 3.44%
Classifier[24] iteration 4233: error 481.849477, percentage 3.44%
Classifier[24] iteration 4234: error 481.847364, percentage 3.44%
Classifier[24] iteration 4235: error 481.845252, percentage 3.44%
Classifier[24] iteration 4236: error 481.843142, percentage 3.44%
Classifier[24] iteration 4237: error 481.841034, percentage 3.44%
Classifier[24] iteration 4238: error 481.838927, percentage 3.44%
Classifier[24] iteration 4239: error 481.836822, percentage 3.44%
Classifier[24] iteration 4240: error 481.834719, percentage 3.44%
Classifier[24] iteration 4241: error 481.832617, percentage 3.44%
Classifier[24] iteration 4242: error 481.830516, percentage 3.44%
Classifier[24] iteration 4243: error 481.828418, percentage 3.44%
Classifier[24] iteration 4244: error 481.826321, percentage 3.44%
Classifier[24] iteration 4245: error 481.824225, percentage 3.44%
Classifier[24] iteration 4246: error 481.822131, percentage 3.44%
Classifier[24] iteration 4247: error 481.820039, percentage 3.44%
Classifier[24] iteration 4248: error 481.817948, percentage 3.44%
Classifier[24] iteration 4249: error 481.815859, percentage 3.44%
Classifier[24] iteration 4250: error 481.813771, percentage 3.44%
Classifier[24] iteration 4251: error 481.811685, percentage 3.44%
Classifier[24] iteration 4252: error 481.809600, percentage 3.44%
Classifier[24] iteration 4253: error 481.807518, percentage 3.44%
Classifier[24] iteration 4254: error 481.805436, percentage 3.44%
Classifier[24] iteration 4255: error 481.803357, percentage 3.44%
Classifier[24] iteration 4256: error 481.801278, percentage 3.44%
Classifier[24] iteration 4257: error 481.799202, percentage 3.44%
Classifier[24] iteration 4258: error 481.797127, percentage 3.44%
Classifier[24] iteration 4259: error 481.795053, percentage 3.44%
Classifier[24] iteration 4260: error 481.792981, percentage 3.44%
Classifier[24] iteration 4261: error 481.790911, percentage 3.44%
Classifier[24] iteration 4262: error 481.788842, percentage 3.44%
Classifier[24] iteration 4263: error 481.786775, percentage 3.44%
Classifier[24] iteration 4264: error 481.784709, percentage 3.44%
Classifier[24] iteration 4265: error 481.782645, percentage 3.44%
Classifier[24] iteration 4266: error 481.780583, percentage 3.44%
Classifier[24] iteration 4267: error 481.778522, percentage 3.44%
Classifier[24] iteration 4268: error 481.776463, percentage 3.44%
Classifier[24] iteration 4269: error 481.774405, percentage 3.44%
Classifier[24] iteration 4270: error 481.772348, percentage 3.44%
Classifier[24] iteration 4271: error 481.770294, percentage 3.44%
Classifier[24] iteration 4272: error 481.768241, percentage 3.44%
Classifier[24] iteration 4273: error 481.766189, percentage 3.44%
Classifier[24] iteration 4274: error 481.764139, percentage 3.44%
Classifier[24] iteration 4275: error 481.762090, percentage 3.44%
Classifier[24] iteration 4276: error 481.760043, percentage 3.44%
Classifier[24] iteration 4277: error 481.757998, percentage 3.44%
Classifier[24] iteration 4278: error 481.755954, percentage 3.44%
Classifier[24] iteration 4279: error 481.753912, percentage 3.44%
Classifier[24] iteration 4280: error 481.751871, percentage 3.44%
Classifier[24] iteration 4281: error 481.749832, percentage 3.44%
Classifier[24] iteration 4282: error 481.747794, percentage 3.44%
Classifier[24] iteration 4283: error 481.745758, percentage 3.44%
Classifier[24] iteration 4284: error 481.743723, percentage 3.44%
Classifier[24] iteration 4285: error 481.741690, percentage 3.44%
Classifier[24] iteration 4286: error 481.739659, percentage 3.44%
Classifier[24] iteration 4287: error 481.737629, percentage 3.44%
Classifier[24] iteration 4288: error 481.735600, percentage 3.44%
Classifier[24] iteration 4289: error 481.733573, percentage 3.44%
Classifier[24] iteration 4290: error 481.731548, percentage 3.44%
Classifier[24] iteration 4291: error 481.729524, percentage 3.44%
Classifier[24] iteration 4292: error 481.727501, percentage 3.44%
Classifier[24] iteration 4293: error 481.725481, percentage 3.44%
Classifier[24] iteration 4294: error 481.723461, percentage 3.44%
Classifier[24] iteration 4295: error 481.721443, percentage 3.44%
Classifier[24] iteration 4296: error 481.719427, percentage 3.44%
Classifier[24] iteration 4297: error 481.717412, percentage 3.44%
Classifier[24] iteration 4298: error 481.715399, percentage 3.44%
Classifier[24] iteration 4299: error 481.713388, percentage 3.44%
Classifier[24] iteration 4300: error 481.711377, percentage 3.44%
Classifier[24] iteration 4301: error 481.709369, percentage 3.44%
Classifier[24] iteration 4302: error 481.707362, percentage 3.44%
Classifier[24] iteration 4303: error 481.705356, percentage 3.44%
Classifier[24] iteration 4304: error 481.703352, percentage 3.44%
Classifier[24] iteration 4305: error 481.701349, percentage 3.44%
Classifier[24] iteration 4306: error 481.699348, percentage 3.44%
Classifier[24] iteration 4307: error 481.697348, percentage 3.44%
Classifier[24] iteration 4308: error 481.695350, percentage 3.44%
Classifier[24] iteration 4309: error 481.693354, percentage 3.44%
Classifier[24] iteration 4310: error 481.691359, percentage 3.44%
Classifier[24] iteration 4311: error 481.689365, percentage 3.44%
Classifier[24] iteration 4312: error 481.687373, percentage 3.44%
Classifier[24] iteration 4313: error 481.685382, percentage 3.44%
Classifier[24] iteration 4314: error 481.683393, percentage 3.44%
Classifier[24] iteration 4315: error 481.681406, percentage 3.44%
Classifier[24] iteration 4316: error 481.679420, percentage 3.44%
Classifier[24] iteration 4317: error 481.677435, percentage 3.44%
Classifier[24] iteration 4318: error 481.675452, percentage 3.44%
Classifier[24] iteration 4319: error 481.673470, percentage 3.44%
Classifier[24] iteration 4320: error 481.671490, percentage 3.44%
Classifier[24] iteration 4321: error 481.669512, percentage 3.44%
Classifier[24] iteration 4322: error 481.667535, percentage 3.44%
Classifier[24] iteration 4323: error 481.665559, percentage 3.44%
Classifier[24] iteration 4324: error 481.663585, percentage 3.44%
Classifier[24] iteration 4325: error 481.661612, percentage 3.44%
Classifier[24] iteration 4326: error 481.659641, percentage 3.44%
Classifier[24] iteration 4327: error 481.657671, percentage 3.44%
Classifier[24] iteration 4328: error 481.655703, percentage 3.44%
Classifier[24] iteration 4329: error 481.653736, percentage 3.44%
Classifier[24] iteration 4330: error 481.651771, percentage 3.44%
Classifier[24] iteration 4331: error 481.649807, percentage 3.44%
Classifier[24] iteration 4332: error 481.647845, percentage 3.44%
Classifier[24] iteration 4333: error 481.645884, percentage 3.44%
Classifier[24] iteration 4334: error 481.643925, percentage 3.44%
Classifier[24] iteration 4335: error 481.641967, percentage 3.44%
Classifier[24] iteration 4336: error 481.640011, percentage 3.44%
Classifier[24] iteration 4337: error 481.638056, percentage 3.44%
Classifier[24] iteration 4338: error 481.636102, percentage 3.44%
Classifier[24] iteration 4339: error 481.634150, percentage 3.44%
Classifier[24] iteration 4340: error 481.632200, percentage 3.44%
Classifier[24] iteration 4341: error 481.630251, percentage 3.44%
Classifier[24] iteration 4342: error 481.628303, percentage 3.44%
Classifier[24] iteration 4343: error 481.626357, percentage 3.44%
Classifier[24] iteration 4344: error 481.624412, percentage 3.44%
Classifier[24] iteration 4345: error 481.622469, percentage 3.44%
Classifier[24] iteration 4346: error 481.620528, percentage 3.44%
Classifier[24] iteration 4347: error 481.618587, percentage 3.44%
Classifier[24] iteration 4348: error 481.616648, percentage 3.44%
Classifier[24] iteration 4349: error 481.614711, percentage 3.44%
Classifier[24] iteration 4350: error 481.612775, percentage 3.44%
Classifier[24] iteration 4351: error 481.610841, percentage 3.44%
Classifier[24] iteration 4352: error 481.608908, percentage 3.44%
Classifier[24] iteration 4353: error 481.606976, percentage 3.44%
Classifier[24] iteration 4354: error 481.605046, percentage 3.44%
Classifier[24] iteration 4355: error 481.603118, percentage 3.44%
Classifier[24] iteration 4356: error 481.601190, percentage 3.44%
Classifier[24] iteration 4357: error 481.599265, percentage 3.44%
Classifier[24] iteration 4358: error 481.597340, percentage 3.44%
Classifier[24] iteration 4359: error 481.595418, percentage 3.44%
Classifier[24] iteration 4360: error 481.593496, percentage 3.44%
Classifier[24] iteration 4361: error 481.591576, percentage 3.44%
Classifier[24] iteration 4362: error 481.589658, percentage 3.44%
Classifier[24] iteration 4363: error 481.587741, percentage 3.44%
Classifier[24] iteration 4364: error 481.585825, percentage 3.44%
Classifier[24] iteration 4365: error 481.583911, percentage 3.44%
Classifier[24] iteration 4366: error 481.581998, percentage 3.44%
Classifier[24] iteration 4367: error 481.580087, percentage 3.44%
Classifier[24] iteration 4368: error 481.578177, percentage 3.44%
Classifier[24] iteration 4369: error 481.576268, percentage 3.44%
Classifier[24] iteration 4370: error 481.574361, percentage 3.44%
Classifier[24] iteration 4371: error 481.572456, percentage 3.44%
Classifier[24] iteration 4372: error 481.570552, percentage 3.44%
Classifier[24] iteration 4373: error 481.568649, percentage 3.44%
Classifier[24] iteration 4374: error 481.566748, percentage 3.44%
Classifier[24] iteration 4375: error 481.564848, percentage 3.44%
Classifier[24] iteration 4376: error 481.562949, percentage 3.44%
Classifier[24] iteration 4377: error 481.561052, percentage 3.44%
Classifier[24] iteration 4378: error 481.559157, percentage 3.44%
Classifier[24] iteration 4379: error 481.557263, percentage 3.44%
Classifier[24] iteration 4380: error 481.555370, percentage 3.44%
Classifier[24] iteration 4381: error 481.553479, percentage 3.44%
Classifier[24] iteration 4382: error 481.551589, percentage 3.44%
Classifier[24] iteration 4383: error 481.549700, percentage 3.44%
Classifier[24] iteration 4384: error 481.547813, percentage 3.44%
Classifier[24] iteration 4385: error 481.545927, percentage 3.44%
Classifier[24] iteration 4386: error 481.544043, percentage 3.44%
Classifier[24] iteration 4387: error 481.542160, percentage 3.44%
Classifier[24] iteration 4388: error 481.540279, percentage 3.44%
Classifier[24] iteration 4389: error 481.538399, percentage 3.44%
Classifier[24] iteration 4390: error 481.536520, percentage 3.44%
Classifier[24] iteration 4391: error 481.534643, percentage 3.44%
Classifier[24] iteration 4392: error 481.532767, percentage 3.44%
Classifier[24] iteration 4393: error 481.530893, percentage 3.44%
Classifier[24] iteration 4394: error 481.529020, percentage 3.44%
Classifier[24] iteration 4395: error 481.527148, percentage 3.44%
Classifier[24] iteration 4396: error 481.525278, percentage 3.44%
Classifier[24] iteration 4397: error 481.523409, percentage 3.44%
Classifier[24] iteration 4398: error 481.521542, percentage 3.44%
Classifier[24] iteration 4399: error 481.519676, percentage 3.44%
Classifier[24] iteration 4400: error 481.517811, percentage 3.44%
Classifier[24] iteration 4401: error 481.515948, percentage 3.44%
Classifier[24] iteration 4402: error 481.514087, percentage 3.44%
Classifier[24] iteration 4403: error 481.512226, percentage 3.44%
Classifier[24] iteration 4404: error 481.510367, percentage 3.44%
Classifier[24] iteration 4405: error 481.508510, percentage 3.44%
Classifier[24] iteration 4406: error 481.506653, percentage 3.44%
Classifier[24] iteration 4407: error 481.504798, percentage 3.44%
Classifier[24] iteration 4408: error 481.502945, percentage 3.44%
Classifier[24] iteration 4409: error 481.501093, percentage 3.44%
Classifier[24] iteration 4410: error 481.499242, percentage 3.44%
Classifier[24] iteration 4411: error 481.497393, percentage 3.44%
Classifier[24] iteration 4412: error 481.495545, percentage 3.44%
Classifier[24] iteration 4413: error 481.493699, percentage 3.44%
Classifier[24] iteration 4414: error 481.491854, percentage 3.44%
Classifier[24] iteration 4415: error 481.490010, percentage 3.44%
Classifier[24] iteration 4416: error 481.488167, percentage 3.44%
Classifier[24] iteration 4417: error 481.486326, percentage 3.44%
Classifier[24] iteration 4418: error 481.484487, percentage 3.44%
Classifier[24] iteration 4419: error 481.482649, percentage 3.44%
Classifier[24] iteration 4420: error 481.480812, percentage 3.44%
Classifier[24] iteration 4421: error 481.478976, percentage 3.44%
Classifier[24] iteration 4422: error 481.477142, percentage 3.44%
Classifier[24] iteration 4423: error 481.475309, percentage 3.44%
Classifier[24] iteration 4424: error 481.473478, percentage 3.44%
Classifier[24] iteration 4425: error 481.471648, percentage 3.44%
Classifier[24] iteration 4426: error 481.469819, percentage 3.44%
Classifier[24] iteration 4427: error 481.467992, percentage 3.44%
Classifier[24] iteration 4428: error 481.466166, percentage 3.44%
Classifier[24] iteration 4429: error 481.464342, percentage 3.44%
Classifier[24] iteration 4430: error 481.462518, percentage 3.44%
Classifier[24] iteration 4431: error 481.460697, percentage 3.44%
Classifier[24] iteration 4432: error 481.458876, percentage 3.44%
Classifier[24] iteration 4433: error 481.457057, percentage 3.44%
Classifier[24] iteration 4434: error 481.455239, percentage 3.44%
Classifier[24] iteration 4435: error 481.453423, percentage 3.44%
Classifier[24] iteration 4436: error 481.451608, percentage 3.44%
Classifier[24] iteration 4437: error 481.449794, percentage 3.44%
Classifier[24] iteration 4438: error 481.447982, percentage 3.44%
Classifier[24] iteration 4439: error 481.446171, percentage 3.44%
Classifier[24] iteration 4440: error 481.444362, percentage 3.44%
Classifier[24] iteration 4441: error 481.442553, percentage 3.44%
Classifier[24] iteration 4442: error 481.440746, percentage 3.44%
Classifier[24] iteration 4443: error 481.438941, percentage 3.44%
Classifier[24] iteration 4444: error 481.437137, percentage 3.44%
Classifier[24] iteration 4445: error 481.435334, percentage 3.44%
Classifier[24] iteration 4446: error 481.433532, percentage 3.44%
Classifier[24] iteration 4447: error 481.431732, percentage 3.44%
Classifier[24] iteration 4448: error 481.429933, percentage 3.44%
Classifier[24] iteration 4449: error 481.428136, percentage 3.44%
Classifier[24] iteration 4450: error 481.426340, percentage 3.44%
Classifier[24] iteration 4451: error 481.424545, percentage 3.44%
Classifier[24] iteration 4452: error 481.422751, percentage 3.44%
Classifier[24] iteration 4453: error 481.420959, percentage 3.44%
Classifier[24] iteration 4454: error 481.419169, percentage 3.44%
Classifier[24] iteration 4455: error 481.417379, percentage 3.44%
Classifier[24] iteration 4456: error 481.415591, percentage 3.44%
Classifier[24] iteration 4457: error 481.413804, percentage 3.44%
Classifier[24] iteration 4458: error 481.412019, percentage 3.44%
Classifier[24] iteration 4459: error 481.410235, percentage 3.44%
Classifier[24] iteration 4460: error 481.408452, percentage 3.44%
Classifier[24] iteration 4461: error 481.406671, percentage 3.44%
Classifier[24] iteration 4462: error 481.404890, percentage 3.44%
Classifier[24] iteration 4463: error 481.403112, percentage 3.44%
Classifier[24] iteration 4464: error 481.401334, percentage 3.44%
Classifier[24] iteration 4465: error 481.399558, percentage 3.44%
Classifier[24] iteration 4466: error 481.397783, percentage 3.44%
Classifier[24] iteration 4467: error 481.396010, percentage 3.44%
Classifier[24] iteration 4468: error 481.394238, percentage 3.44%
Classifier[24] iteration 4469: error 481.392467, percentage 3.44%
Classifier[24] iteration 4470: error 481.390697, percentage 3.44%
Classifier[24] iteration 4471: error 481.388929, percentage 3.44%
Classifier[24] iteration 4472: error 481.387162, percentage 3.44%
Classifier[24] iteration 4473: error 481.385397, percentage 3.44%
Classifier[24] iteration 4474: error 481.383632, percentage 3.44%
Classifier[24] iteration 4475: error 481.381869, percentage 3.44%
Classifier[24] iteration 4476: error 481.380108, percentage 3.44%
Classifier[24] iteration 4477: error 481.378347, percentage 3.44%
Classifier[24] iteration 4478: error 481.376588, percentage 3.44%
Classifier[24] iteration 4479: error 481.374831, percentage 3.44%
Classifier[24] iteration 4480: error 481.373074, percentage 3.44%
Classifier[24] iteration 4481: error 481.371319, percentage 3.44%
Classifier[24] iteration 4482: error 481.369566, percentage 3.44%
Classifier[24] iteration 4483: error 481.367813, percentage 3.44%
Classifier[24] iteration 4484: error 481.366062, percentage 3.44%
Classifier[24] iteration 4485: error 481.364312, percentage 3.44%
Classifier[24] iteration 4486: error 481.362564, percentage 3.44%
Classifier[24] iteration 4487: error 481.360816, percentage 3.44%
Classifier[24] iteration 4488: error 481.359070, percentage 3.44%
Classifier[24] iteration 4489: error 481.357326, percentage 3.44%
Classifier[24] iteration 4490: error 481.355582, percentage 3.44%
Classifier[24] iteration 4491: error 481.353840, percentage 3.44%
Classifier[24] iteration 4492: error 481.352100, percentage 3.44%
Classifier[24] iteration 4493: error 481.350360, percentage 3.44%
Classifier[24] iteration 4494: error 481.348622, percentage 3.44%
Classifier[24] iteration 4495: error 481.346885, percentage 3.44%
Classifier[24] iteration 4496: error 481.345150, percentage 3.44%
Classifier[24] iteration 4497: error 481.343415, percentage 3.44%
Classifier[24] iteration 4498: error 481.341682, percentage 3.44%
Classifier[24] iteration 4499: error 481.339951, percentage 3.44%
Classifier[24] iteration 4500: error 481.338220, percentage 3.44%
Classifier[24] iteration 4501: error 481.336491, percentage 3.44%
Classifier[24] iteration 4502: error 481.334763, percentage 3.44%
Classifier[24] iteration 4503: error 481.333037, percentage 3.44%
Classifier[24] iteration 4504: error 481.331311, percentage 3.44%
Classifier[24] iteration 4505: error 481.329587, percentage 3.44%
Classifier[24] iteration 4506: error 481.327865, percentage 3.44%
Classifier[24] iteration 4507: error 481.326143, percentage 3.44%
Classifier[24] iteration 4508: error 481.324423, percentage 3.44%
Classifier[24] iteration 4509: error 481.322704, percentage 3.44%
Classifier[24] iteration 4510: error 481.320987, percentage 3.44%
Classifier[24] iteration 4511: error 481.319270, percentage 3.44%
Classifier[24] iteration 4512: error 481.317555, percentage 3.44%
Classifier[24] iteration 4513: error 481.315842, percentage 3.44%
Classifier[24] iteration 4514: error 481.314129, percentage 3.44%
Classifier[24] iteration 4515: error 481.312418, percentage 3.44%
Classifier[24] iteration 4516: error 481.310708, percentage 3.44%
Classifier[24] iteration 4517: error 481.308999, percentage 3.44%
Classifier[24] iteration 4518: error 481.307292, percentage 3.44%
Classifier[24] iteration 4519: error 481.305586, percentage 3.44%
Classifier[24] iteration 4520: error 481.303881, percentage 3.44%
Classifier[24] iteration 4521: error 481.302177, percentage 3.44%
Classifier[24] iteration 4522: error 481.300475, percentage 3.44%
Classifier[24] iteration 4523: error 481.298774, percentage 3.44%
Classifier[24] iteration 4524: error 481.297074, percentage 3.44%
Classifier[24] iteration 4525: error 481.295375, percentage 3.44%
Classifier[24] iteration 4526: error 481.293678, percentage 3.44%
Classifier[24] iteration 4527: error 481.291982, percentage 3.44%
Classifier[24] iteration 4528: error 481.290287, percentage 3.44%
Classifier[24] iteration 4529: error 481.288594, percentage 3.44%
Classifier[24] iteration 4530: error 481.286902, percentage 3.44%
Classifier[24] iteration 4531: error 481.285211, percentage 3.44%
Classifier[24] iteration 4532: error 481.283521, percentage 3.44%
Classifier[24] iteration 4533: error 481.281832, percentage 3.44%
Classifier[24] iteration 4534: error 481.280145, percentage 3.44%
Classifier[24] iteration 4535: error 481.278459, percentage 3.44%
Classifier[24] iteration 4536: error 481.276774, percentage 3.44%
Classifier[24] iteration 4537: error 481.275091, percentage 3.44%
Classifier[24] iteration 4538: error 481.273409, percentage 3.44%
Classifier[24] iteration 4539: error 481.271728, percentage 3.44%
Classifier[24] iteration 4540: error 481.270048, percentage 3.44%
Classifier[24] iteration 4541: error 481.268370, percentage 3.44%
Classifier[24] iteration 4542: error 481.266692, percentage 3.44%
Classifier[24] iteration 4543: error 481.265016, percentage 3.44%
Classifier[24] iteration 4544: error 481.263342, percentage 3.44%
Classifier[24] iteration 4545: error 481.261668, percentage 3.44%
Classifier[24] iteration 4546: error 481.259996, percentage 3.44%
Classifier[24] iteration 4547: error 481.258325, percentage 3.44%
Classifier[24] iteration 4548: error 481.256655, percentage 3.44%
Classifier[24] iteration 4549: error 481.254986, percentage 3.44%
Classifier[24] iteration 4550: error 481.253319, percentage 3.44%
Classifier[24] iteration 4551: error 481.251653, percentage 3.44%
Classifier[24] iteration 4552: error 481.249988, percentage 3.44%
Classifier[24] iteration 4553: error 481.248325, percentage 3.44%
Classifier[24] iteration 4554: error 481.246662, percentage 3.44%
Classifier[24] iteration 4555: error 481.245001, percentage 3.44%
Classifier[24] iteration 4556: error 481.243341, percentage 3.44%
Classifier[24] iteration 4557: error 481.241683, percentage 3.44%
Classifier[24] iteration 4558: error 481.240025, percentage 3.44%
Classifier[24] iteration 4559: error 481.238369, percentage 3.44%
Classifier[24] iteration 4560: error 481.236714, percentage 3.44%
Classifier[24] iteration 4561: error 481.235060, percentage 3.44%
Classifier[24] iteration 4562: error 481.233408, percentage 3.44%
Classifier[24] iteration 4563: error 481.231756, percentage 3.44%
Classifier[24] iteration 4564: error 481.230106, percentage 3.44%
Classifier[24] iteration 4565: error 481.228457, percentage 3.44%
Classifier[24] iteration 4566: error 481.226810, percentage 3.44%
Classifier[24] iteration 4567: error 481.225163, percentage 3.44%
Classifier[24] iteration 4568: error 481.223518, percentage 3.44%
Classifier[24] iteration 4569: error 481.221874, percentage 3.44%
Classifier[24] iteration 4570: error 481.220231, percentage 3.44%
